review_id,full_review,wish I read reviews ,wish I read reviews _ohe
RZQSEN3KXZJ12,Not happy with my black ink cartridge I got maybe 2 pages printed then that was it no more black ink !!!!!!! This did not even deserve a star,0,0
R3CL4QCWRXZEIX,"I only hope that this was a quality assurance rather than a deliberate change of Avery product specifications. I have used these protectors for a at least 5 years and they were perfect. Now, I can barely squeeze in a single page and it buckles up (see photos by other reviewers). My last order now goes into garbage, just as I am looking for an alternative product.",0,0
R35NRB4TB7S6J4,"I generally don't review the things I buy but it is disappointing to receive an object with all the right parts just positioned wrong. The person that is welding the parts doesn't pay attention as to how the parts should be placed, rendering the piece useless. My sculpture had the card holder placed inverted so the cards would face the inside, where people cannot see them and read them. Also the part that held the pens was placed so that the pens were resting outside of the sculpture. It would be bad to give this as a present to a professional and not realize how bad it could look to the eyes of the pts. So be aware when you receive your product.",0,0
R2N024W2JDX6B0,I'm giving a single star because I have to return them for the second time due to one of the four bins being broken. I'm extremely disappointed because the size and shape are exactly what I was looking for. I tried to contact IRIS but they haven't bothered to get back with me. I will find another product to meet my needs.,0,0
R6WWRPSUQQQ97,"I read a couple other reviews on how they have a strong smell, figured I'd give them a shot anyways. They smell is horribly strong! They were individually wrapped inside the big pack that was also sealed. Not sure why they stink, if it's the glue adhesive or what. It is VERY noticeable though. They work well, but I will not be purchasing again just because of that.",0,0
RZMYY5OAYU7RH,"When I purchased these, it was advertised as 2011, which I needed. However, when I received them, they were for 2012. They have no contact info listed and when I reviewed these the first time, it wasn't accepted. I guess they don't like negative feedback. Secondary, I haven't heard anything from them to replace .",0,0
RQROG0I8VU0CH,"I have a canon pixma TS3122, which the seller stated in product description would be compatible with this cartridge. I was excited since this would be a good deal cheaper and had great reviews from everyone. I did read another review with a printer similar to mine that said there would be an ""out of ink message"" but you could override it. My computer never sent that. The printer always read out of ink and would not receive the job. Sadly, I could not find a way to override this.",0,0
RKDT1KVLHLRNP,The star is black not blue as pictured! And the packaging is a mess.,0,0
R3VN7ZXK2R4NZU,"Not sure what the other reviewers are looking at, but the yellow I received is single wall, non adhesive and thus totally useless. It is not the regular type of Dymo tape that produces (white) raised letters.........this does not on my M-22.",0,0
R1DJNUET3MFYOG,"Might as well play with razor blades. This is ridiculous. Bent. Cheap. Thin. Not sanded on mesh edges. Waste of time waiting for it. Most organizers require a little sanding here and there, this is a piece of junk. I cannot believe anyone is keeping this item and giving it positive reviews. I couldn't even remove it from the plastic bag without encountering sharp, jagged edge. Unbelievable. Obviously there are no quality control inspections. Going back to my other brand. Or wood. Anything but this.",0,0
R1DDZ5JY6JDSEL,"I ordered these because I thought they'd be cute to write thank you cards after getting married. AFTER filling them all out, i see that one of the designs has squares and lines across it and says ""Shutterstock"". This card company stole the image! It looks so tacky. I could have made tacky cards myself!!  Im beyond angry.  Not to mention, what a waste of my time and money!  If I could give this 0 stars, I absolutely would. DO NOT BUY THESE!",0,0
R1DHAPGTQ9GHVV,"I've had this for over a month and it's still outgassing.  I also don't think the wrist support is quite supportive enough, however, I'd still give it 3 stars if it weren't for the smell.",0,0
