review_id,full_review,zero_star,zero_star_ohe
R1CRQ4TO7TVZYI,So the image shows noodlers polar ink series and when I click it it still clearly says polar ink however when I got their basic brown I was confused. So I went to return it and its the basic brown image? Not sure If that's amazons fault or the seller but I'm dissapointed.For an actual review these inks are the worst for water but they work fine for copic inks. Polar inks work for both,0,0
R19JEPGLD3YJSH,I don’t think I have yet to write a negative review however I was in desperate need of this binder. When it arrived it was bent and ripped along one of the folds. I don’t have the time to return as I am using this to hold my 5th graders module 2 for math which if any parents knows is a huge amount of paperwork. I have used Avery in the past and it was always fine this I didn’t expect at all.,0,0
RITV3I7304IAG,"Doesn’t erase. Even after I used some elbow grease along with a microfiber cloth it’s still ‘stained’. Also, it’s fine for a flat surface but don’t try and apply to anything with an edge. It won’t stay. At all. Not even to a smooth refeidgerator surface.See pics. Very very disappointing. I agree with another reviewer that all of these can’t be legit.",0,0
R2C71Z7CM7WQ8O,"Sadly I wish I had read the reviews before buying. This tape seems good, sticky, okay, but you cannot use it with any dispensers which defeats the purpose. I've tried plastic dispensers that take refills, and I've tried heavy-duty office tape dispensers, and this tape won't work with any of them. The tape will not cut with the little serrated edge of the dispensers- it stretches and stretches until it either breaks off, or you have to cut it with scissors. Don't waste your money.",0,0
RGF63NTC51ASI,"The media could not be loaded.                      I am so disappointed. I bought this for my son. It came in with no ink. As you can watch in the video. For me, this is below zero for rating.",4,1
R13MB862AF37C3,I loved the product. Easy to print on using the website and sticks well. My only reason for the low stars is because I got less than 40 labels. Couldn't return as I started using them before I realized.,0,0
R2C7GGQTPQ7MIZ,This has almost no magnetic strength to to hold. Ended up gluing. Cant hold markers with its magnet either.  Have no idea how this product got a 4+ star ratings. Something fishy .,0,0
R25DAXD7P4ECWY,There was no ink. I had to spend more money on a better product. And I only gave it 1 star because I had to select a star In order to submit my review,1,1
R1GSLNHL8YQCVS,"Beware of hidden charges! You pay more than advertised.- I had been a customer of Phonepower for 2 years under the so called ""2nd year free"" plan. It's not free as advertised. You have to pay about $40 for a free service. (1st star has gone)- It says $199/year 2nd year free, but you have to pay about $240 for the first year and about $40 the second year. Do the math, you end up paying $12/mon. During 2 years, you may find better deals elsewhere.- International rates are before taxes and fees. Your final price is more than advertised. (2nd star has gone)- Had many interruptions of the service towards the end of first year. The technical service spent months to figure out the problem. Actually it was me who figured out that the adapter was defective. They blamed many other things like internet service etc. I sat down and had 3 hours long phone conversation to convince that the adapter was indeed defective. Finally got a new adapter and the service was fine thereafter.- I had a problem with a router (Asus RT-N56U); I couldn't hear inbound calls. Tech support spent hours again over the phone and finally declared the router was incompatible with their service. I figured out myself that it was a firewall setting that blocked inbound sound.- After 2 year they want me to continue with higher rate. They (also other companies) are more interested in attracting new customers than keeping the existing customer, a stupid move. (3rd star has gone)- All in all, I do not recommend this as the primary line for your house. The call quality was good with few exceptions. International call quality is not as good as local or national. Also, be aware of so many hidden charges.",0,0
R1F9J3ZWTFYLTX,"Have to say I really liked the product and didn’t have any issues with the pen itself not writing correctly. I genuinely really liked the pen itself but it ended in sad day however ☹️After only about 2 weeks when I realized the pen itself was lost. I did happen to notice that the pen was extending on its own on my key chain and had to keep pushing it back together periodically throughout the day to secure it. I didn’t really think much of it because it did appear to be hanging on the cap fairly well so just assumed the pen just gets pulled down as I walk and keys are rubbing on it. Then one day I get home from work and as I’m putting my keys down I notice that just the cap of the pen is all that remains.Really sucks too, I really loved the little pen and wish I could write a better review but unfortunately I cannot do so when the pen went missing after just 2 weeks. Very disappointed and don’t recommend to buy pen when it pops off the cap so easily.",0,0
R3RFEMLJPUNG59,"I bought these a few months ago at a retailer. But I'm leaving a review here to warn others not to buy! When I first opened the package on 3/4 markers worked. I had already thrown the receipt away an a couple of weeks had passed so I couldn't return them. Then a week after that only 2/4 worked. Now, just a few months later and with minimal use, none of them write. It's so frustrating to spend your hard-earned money on a product that's poorly made. Don't waste your money on this company's product. Other people have clearly had the same issue so it's obvious they've done nothing to address this.",0,0
R32FL97HIIP28I,"I am not a fan of pens that try to recreate the beauty of a fountain pen. However,  I've been a fan of Parker ball point pens for 50+ years. In the case of the Parker Reflex Pen, I am at best luke warm. The pen writes great and more than meets my needs as a note taker and signing pen. However, the pen loses the neatness test. I've had this same problem with pens form other manufacturers. The problem is the seepage of ink from the ink cartridge around the pen tip. Please refer to the pictures I provided with this review. In this case,  I am rooting for Parker that this is a fluke and the rest of the production run was OK.",0,0
RSPLCEBDLAON9,"Honey- Cannot-Do. Assembled cart, no problem. Took it to the supermarket for the first time. I have a twelve step climb to my house. By the time I got there, the wheels were out of whack, the axle was bent and the cart was coming apart. I should of romer foread the reviews before I bought this piece of crap. I have been an amazon customer for years. Surprised they let this junk slip by.",0,0
RPQPN8X2ERYCE,"I ordered this on Amazon and for some reason, my T50 3/8"" staples would not come out when operating.  It made an impressive SNAP, as if it wanted to work, but it was almost like the staples were too fat to be pushed out or something (which of course is not the case, as they are within spec of the stapler, and are Arrow brand themselves).I originally started to order a replacement, but needed the stapler that day.I triple checked everything just to make sure I wasn't doing something dumb, but definitely loaded the staples properly (from the bottom of the stapler, facing outward, not on the rail (of course) like the directions say) To further reinforce not doing something boneheaded, the Bostitch stapler/brad combo I picked up at Lowe's worked flawlessly.  That particular model isn't on Amazon, or I'd link to it and review it as well.I give the product two stars as I didn't give it a second chance due to my time constraints, as I truly do conclude it was a lemon based on the reviews.  Otherwise I would give it one star.  Frankly, first time operation is part of what determines a product's rating, so a trend of ""the first one didn't work"" should be noted.  Of course it happens...no hard feelings toward the company.  Sort of like when GE wised up that their first-gen hybrid water heaters had some horrible quality control in China...moved production back to US.  I digress.  But you get my point.Of course, Amazon makes it fairly painless either way to obtain RMA, shove it in a box and drop off at UPS location.",0,0
RCZKSHQ7NMIF4,"I wish I could give it Zero Stars! Its a complete FAKE version of the cards, they are all the 2012 Holiday Cards duplicated on cheap paper... DO NOT BUY!",1,1
RBB4UPVOWP6DC,"The adhesion is TERRIBLE, as other reviews have posted out. The paper is thin - don’t expect anything sturdy. Would not recommend.",0,0
R3P7HKNAYYVB9M,"Despite other reviewers mentioning the ink did not work with their HP 6310 all in one printers I decided to give this a try because it was so inexpensive. Unfortunately, same story for me. The black ink came through ok but the color was terrible.",0,0
