review_id,full_review,rating_managment_explicit,rating_managment_explicit_ohe
R3QLEXR780PR7J,"When travelling the States (frequently coming over from Europe) it's hard to avoid Randy Travis on any of the stations, and I must admit that I have hummed along to a lot of his songs, too. Even bought a CD in 1998 because of the strength of hits such as as ""Digging' up Bones"" and ""Out of My Bones"".As a music fan, I've always loved live recordings, so I went and bought this one recently. Randy Travis admittedly has got a remarkable voice, but after three or four tracks (and strangely they all clock in at exactly 3 minutes) I found the individual songs pretty much alike, be it his recently Gospel-flavored stuff or older hits, not too much variety here. The arrangements are C&W-neat but sterile throughout, including the one-liners between songs.I really love handmade country music, but this recording (as well as the DVD) offer just too little variation to anybody but the dedicated fan. Other great live performers with roots in Country Music (be sure to check out Willie Nelson, Dan Fogelberg or John Denver concert recordings) give their audiences an evening of Country PLUS Blues, Rock, Pop - whatever, and they've also had a hand in writing their own stuff, while Randy Travis basically just interprets the same three-minute song over and over again (custom-written by others).With a great voice like his, Randy Travis could and should really aim for higher ground. Sorry if anybody feels annoyed by this, but not all of the ratings can be 5-stars :-)",0,0
RUL9LX9JI95KM,"Should give this below one star. When I purchased my NYC co-op, one was already here. Constant loud noise.  Thought it was broken.  Threw it out. Unfortunately, bought a new one.  Same problem.  Very loud noise. Wakes me up.  Did not purchase this on Amazon.  Can’t understand why so expensive for such an inferior product.",0,0
R3ACSF854Z8W9W,Started watching this film and my partner and I shut it off.  It's just not our type of movie.You might like it; read the reviews.Service getting DVD was fine.,0,0
R20MGXAGNO9EO8,"I got this doll for my 86 year old mother, who has Alzheimer's Disease, and loves baby dolls. This doll scared her so much, I gave it away. If you want a better made doll, buy one from Walmart. The company that made this doll wants me to change my review, they discounted the doll 20 percent if I would change it. The coloring on this doll is bad, It is more gray than flesh colored & looks dead.",0,0
R1F8CDY62DY2B7,too hard for a starter. Better to rate difficullty,0,0
RPY65FEVWU10Y,First tracks did not work. I cannot rate this any better because it is faulty,0,0
R18NAJQN4GTQFD,Please read a review left by Dan Augood! I ordered this book as part of book club and we all agreed to stop reading it after week one. One person always donates their books to a book shop or library after we have finished with a book. But on this occasion they don’t wish to torture another person so won’t be donating the book.,0,0
R2Z4O225QJZBDO,As soon as I received it in the mail I opened it up to apply it on my dog. The containers were empty. None of them were open or leaking. I cut it open to make sure but it was completely dry. THEY SOLD ME AIR. I would give it ZERO stars if I could.,0,0
R1XTGRRXJ09XH9,"Loved the book. Big sci-fi fan, but one of the worst movies ever. Saw it when it came out. Not one person I knew liked it back then so I am shocked so many rave reviews today. Can’t believe this movie could improve with age. Does a lousy wine improve with age? Can only think it makes you sound like you are cool - like marvelling at most abstract art. Movie was widely criticised at the time except I remember they tried to applaud Sting. You see where his film career went. Long, boring pile.",0,0
R35Z797JE25J5B,"Dune, uncut, is a classic.  This sliced-and-diced widescreen version dropped at least two vital sequences (I haven't had the time to look for more). ***SPOILER ALERT*** First, Paul's call-out fight upon his and Jessica's first ecounter with the Fremen, the transfer of responsibility for the children of the slain Fremen and the passage of his water to Paul for safekeeping for the Tribe limns the character of the Fremen and their relationship to tradition and water -- a must for better understanding of actions to follow.  ***SPOILER ALERT***  Also cut was the process of removing the bile of the infant worm (The Water of Life).  It's origin is vital to understanding one facet of the planet's importance to the Bene Gesserit and the relationship between the worms and the mystical culture surrounding them.  Again, widescreen is nice but why, oh why, for a few cents' worth of tape, did they cut anything? The original, albeit in TV format, deserves a full row of stars.",0,0
R2CA4E6DOFCIYJ,"A loose stool of a book. Unreadable. A chaos of very badly written over-excited adolescent twaddle. Some reviewers have made reference to the fact that it is impenetrable, which it is, but that is not because there is a cunning and original mind at work behind the torrent of superfluous nonsense - it's just rubbish, plain old rubbish.",0,0
R1M3IDMQ6C2FLH,"I saw this book in the store, and I bought it because of the cool cover art and because I love stories with dragons. But I have to say, I'll be more careful next time. Unfortunately, the book is so obviously ""lifted"" from Lord of the Rings (with a dash of Star Wars) that it's just frustratingly difficult to read. The main character, Eragon (AKA ""Aragorn"" from Lord of the Rings), sets off on a quest to overthrow the evil ruler of a land that resembles Middle Earth (as seen in the Tolkien-esque map provided at the beginning of the book) with the help of an old magician, Brom (AKA Gandalf). Sound familiar? Well, the rest of the story will, too.Given his age, Christopher Paolini is a great writer, and he has very good potential, but he's still in the beginning stages of writing where one imitates the great writers. Once he finds his own voice, he'll probably blow our socks off. But in the meantime, save your money! Or, better yet, spend it on a better investment--Lord of the Rings.",0,0
R1UYJTUJW1FZ8Z,too many book reviews,0,0
R3LBCHB3R3ONHP,This book is so poorly written that If I had been teaching at any University it would not have garnered an F. I found nine errors in the introductory page and it got worse from there. This man is not qualified to write anything on this subject and mixes all sorts of terms up and has misassumptions abounding. Those who wrote all these glowing reviews on this book are obviously worse educated than Mr Fischer is. This is a real indictment on the state of education in the world I can tell you that. I have a review just of the introductory section which is rife with errors on the web. Just search for writings by me and you'll find it. I didn't feel a need to waste 500 pages on writing a review on a poorly written book. Roy Blizzard IIIOn facebook or on the web,0,0
R2WTAFM1AR9ITP,"After watching the first 10 minutes there is at least two dozens deaths (animated deaths but deaths none the less) and it just shocked me how can a movie like this be rated G. Which demographic are this people aiming to? A 1960's based spy movie? Are they serious? Of course people are going to say ""Get a life. There's death and violence in the real world, kids should be prepared to accept death as natural part of life, blah blah blah"". But what's the message in this movie? Bad people lose, good looking people win? That's the Disney motto, not Pixar's. This sequel does not compare to the Toy Story sequels if you're going to name other sequels made by Pixar.  The original plot was about character development, friendship, being humble, recognizing ones faults and growing up.  This movie is just an action movie not a family movie. I was disappointed to see that John Lasseter contributed to the story of this movie and it is a shame since this movie differs so much from the first one that one can only think that he was ordered to produce a sequel. Mr Lasseter, if you're not on the Board you just are an employee; forget whatever title they give.  If the movie does not sell you'll be held accountable and fired a second time from the same company. Seems that the winning streak of Pixar has ended. Better luck next time.P.S.  ""Planes?"" How original. Another marketing tool.",0,0
R2AV7FR8D1RQCO,"******WARNING, SPOILERS AHEAD******I loved the first book (gave it a 5-star review) and couldn't wait for this follow up. I read it in a day and while I'm happy to have some questions answered after reading the epilogue to Everything We Keep, I'm a bit disappointed with the direction of things in Everything We Left Behind.While I'm aware this book is James's/ Carlos's story, I just feel there was way too little of Aimee. With everything going on in her journey - and so much emotion involved, I felt I didn't get enough closure from her perspective here. I was also hoping to see more of the family dynamics that led to the entire mess from EWK.Instead of all of that, the prominent figure in this book (along with James/ Carlos) was Natalya, who quite frankly annoyed me. I really had no interest in how much Carlos lusted after her, so soon after the loss of the wife he supposedly fell hard for, and yet, it was the main theme of the book. Natalya's hair, body and how badly he wanted to screw her and persuade James to feel the same way about her through the journaling. And somehow, she was just as much in love with the version of the man she only experienced for 24 hours as she was with the man she loved for 6+ years - even though they're two completely different people, even if they both had the same heart/ soul.It just wasn't what I was hoping for.The one good thing, though, was at least they took Phil's assault on Aimee a lot more seriously from EWK. It seemed this violation was shoved under the rug in the first book, so I'm at least happy the regrets and remorse happened here.I would have loved this book if:1 - There was more focus on healing the past and James/ Aimee having more interaction (I mean, that was what I was hoping for when I read the epilogue in EWK).2 - Far less Natalya (or none of her at all).I really wanted to love this as much as I did EWK. I'll still read the third one when it comes out and hope it ties up some loose ends between the two lost loves in a way that makes this journey worth it.",0,0
R35HKPK37NACLX,"Like a typewriter stuck on one letter, this book is full of similes.  As repetitive as a woodpecker working on an old oaken log, this book is full of similes.  If you enjoy similes like a dog enjoys scratching his fleas, then you may find this book entertaining.Like a freshman English professor tired of reading excessive adjectives in assignments, I did not.I too stuck it through to the very end, wading through the tedious and verbose prose; probably more because I'm stubborn (and always finish my books) and not due to the fact that I was enjoying the read.The storyline, though sometimes confusing, was above average.  It almost begs a sequel.  But, like an imperfect movie that gets mediocre reviews, this book needs no continuation.As a fairly frequent reader, I've got one last question:How did this make Oprah's book club?!!!",0,0
R14R9WHB4FE1I,"This product was made in China, does not state that on the description. Although W&N have a manufacturing company in China, this is very disappointing for a western buyer as they have a different formula (less pigment etc). This would explain why so many people reviewing the product have mentioned that it reacts differently than their original paints.Please be aware of this when purchasing.",0,0
